beta,sweep,M,absM,M2,E,E2,acceptedFlips,attemptedClusters,acceptedClusters,fixedPairCorr,corr_r1,corr_r2,corr_r3,corr_r4,corr_r5,corr_r6,corr_r7,corr_r8,corr_r9,corr_r10,corr_r50,corr_r75,corr_r100,corr_r125,corr_r150,corr_r175,corr_r200,corr_r225,corr_r250
0.02,55,0.000232,0.000232,5.3824e-08,-0.042352,0.00179369,0,240045,120149,-1,0.021176,0.00128,-0.001784,-0.000384,-0.000952,-0.001264,-0.000432,0.000808,0.001048,-9.6e-05,0.001312,-0.000184,-0.000912,-0.000392,0.002248,-0.002528,0.000424,0.001056,0.003264
0.02,56,-0.00176,0.00176,3.0976e-06,-0.038592,0.00148934,0,239948,119927,-1,0.019296,0.000288,-0.000952,-8e-05,-0.000224,-0.001632,0.000808,0.000832,-0.0004,-0.000704,0.000488,0.001776,-0.000408,0.000288,0.001552,0.00032,0.00252,0.000776,0.00096
0.02,57,-4.8e-05,4.8e-05,2.304e-09,-0.036624,0.00134132,0,240045,119632,-1,0.018312,-0.001328,-0.00044,0.002872,0.000576,0.000464,-0.002464,0.002912,-0.001888,0.000416,0.000376,-0.001472,0.002184,0.000216,-0.001152,0.0028,0.00032,-0.001032,-1.6e-05
0.02,58,0.002096,0.002096,4.39322e-06,-0.041328,0.001708,0,239858,120103,1,0.020664,0.000456,4.8e-05,0.000568,-0.000728,-0.000528,-0.001224,0.000912,-0.001528,-0.000128,0.001056,0.002456,0.00188,0.000392,-0.0008,0.002112,-0.00064,-7.2e-05,0.000496
0.02,59,0.001392,0.001392,1.93766e-06,-0.042096,0.00177207,0,239834,119864,-1,0.021048,-0.000128,0.000608,-0.002648,0.000952,0.00076,0.001568,-0.000408,0.000136,0.000736,-0.001176,-0.00132,0.001512,-0.000832,-0.001376,-0.001104,0.002224,0.002064,0.002336
0.02,60,0.002152,0.002152,4.6311e-06,-0.045392,0.00206043,0,239882,119528,-1,0.022696,-0.00252,-0.000264,-0.0006,0.000352,-0.000352,0.000176,0.000264,0.000776,-0.002024,0.001488,0.002256,-0.00128,-0.000144,0.000952,-0.000544,0.001448,0.000832,-0.001856
0.02,61,-0.00148,0.00148,2.1904e-06,-0.040016,0.00160128,0,239959,120300,1,0.020008,-6.4e-05,-0.00232,-0.002608,-0.001744,-0.003264,0.004168,-0.0008,-0.002176,0.000952,-0.001136,-0.001024,-0.001032,-0.001832,-0.00168,0.002144,0.000944,0.001592,-0.001968
0.02,62,-0.000232,0.000232,5.3824e-08,-0.03912,0.00153037,0,239901,119735,-1,0.01956,0.001392,-0.001224,-0.00036,0.000144,-0.000208,-0.000304,-0.00236,0.001208,-0.00012,0.001848,-0.002376,0.003224,0.001776,0.00164,-0.000224,0.00116,0.00116,-0.000528
0.02,63,0.001656,0.001656,2.74234e-06,-0.039008,0.00152162,0,240234,120395,-1,0.019504,0.000768,-0.001936,7.2e-05,-0.001232,0.00024,0.000328,8.8e-05,-0.00104,0.000456,0.000584,0.000712,0.001056,0.002976,0.000488,0.0016,0.001592,-0.000408,-0.000368
0.02,64,-0.000912,0.000912,8.31744e-07,-0.043952,0.00193178,0,240009,119660,1,0.021976,-2.4e-05,-0.000344,-0.000816,0.000408,-0.000224,0.00316,0.001488,0.00116,-0.001192,0.00372,7.2e-05,0.000136,0.002104,-4.8e-05,-0.001408,-0.001984,-0.000216,-0.00112
0.02,65,-0.001672,0.001672,2.79558e-06,-0.03992,0.00159361,0,239921,119939,-1,0.01996,-0.00136,-0.00012,-0.000424,-0.000328,-0.001168,0.001896,0.000496,0.001944,-0.000352,-0.001816,-0.001928,-0.001144,-0.00028,-0.002192,0.001696,-0.0002,-0.00136,-0.00032
0.02,66,0.001144,0.001144,1.30874e-06,-0.04024,0.00161926,0,240175,120119,-1,0.02012,-0.00056,0.0014,0.000624,-0.000904,-8e-06,0.002344,-0.002192,-0.00112,-0.001912,0.00048,0.00036,0.00144,0.001496,-0.001096,-0.000808,-0.001048,-0.001248,-0.001264
0.02,67,-0.000688,0.000688,4.73344e-07,-0.044608,0.00198987,0,239896,120006,-1,0.022304,-0.00276,0.000168,-0.00048,-0.001616,-0.000968,-0.000552,-0.001256,5.6e-05,0.000672,-0.000152,0.00048,-0.000824,0.000848,0.000176,-0.00072,-0.001656,-0.002208,-0.002288
0.02,68,-0.000552,0.000552,3.04704e-07,-0.04144,0.00171727,0,240141,120055,-1,0.02072,0.0024,0.000416,0.000232,-0.001464,0.001176,-0.002104,-0.000368,-0.00104,-0.000928,0.000376,0.00216,0.00072,0.001736,-0.000896,-0.000112,0.000592,-6.4e-05,0.000384
0.02,69,-0.00176,0.00176,3.0976e-06,-0.036928,0.00136368,0,240009,120056,-1,0.018464,-0.001192,-0.001224,-0.000696,-0.00072,0.001376,-0.00052,0.000728,-0.002424,-6.4e-05,-0.001792,0.000472,0.001088,0.001352,0.002208,0.000336,0.000632,0.000592,0.00192
0.02,70,0.002752,0.002752,7.5735e-06,-0.039664,0.00157323,0,239927,120853,1,0.019832,0.00108,-0.000144,0.000608,-0.001464,0.000992,0.000416,-0.000976,0.004248,0.001456,0.00012,-0.0018,0.000144,-0.001256,0.001152,-0.000328,4e-05,-0.001544,0.00216
0.02,71,-0.006528,0.006528,4.26148e-05,-0.039088,0.00152787,0,240139,120244,-1,0.019544,-0.001488,-0.000632,0.000672,-0.000128,-0.001424,0.000616,0.00116,0.000872,0.000768,0.001008,0.002232,0.002424,0.000536,-0.002512,0.001384,-0.001544,0.000808,-0.0016
0.02,72,-0.001256,0.001256,1.57754e-06,-0.043296,0.00187454,0,239881,119880,-1,0.021648,6.4e-05,0.002248,-0.00112,-0.000552,-8.8e-05,-0.001696,-8e-05,0.0006,0.0014,0.001248,-0.001944,-0.0006,0.000656,-0.0022,0.001432,0.001192,0.000416,-6.4e-05
0.02,73,-0.000696,0.000696,4.84416e-07,-0.039664,0.00157323,0,239971,120598,1,0.019832,-0.000256,-0.002016,0.000368,0.002072,-0.001744,0.003296,0.002032,0.001952,0.000456,-0.001856,-0.000224,-0.000168,-5.6e-05,0.000984,-0.001352,-0.001192,-0.001736,0.001136
0.02,74,0.000912,0.000912,8.31744e-07,-0.032272,0.00104148,0,240158,120114,1,0.016136,0.000584,0.000304,0.002096,0.000672,-0.000904,-0.002088,-0.00108,-0.000888,0.000464,0.001568,0.00012,-0.000424,-0.000664,-0.001304,-0.000296,0.000896,0.001288,0.002448
0.02,75,-0.0004,0.0004,1.6e-07,-0.039296,0.00154418,0,240258,119961,-1,0.019648,-0.001184,0.001792,-0.001064,-9.6e-05,-0.000952,-0.00028,-0.000304,-0.000544,-0.0002,0.001192,-0.001672,0.002864,-0.000824,0.001832,-0.00024,0.00076,-3.2e-05,0.000272
0.02,76,-0.00052,0.00052,2.704e-07,-0.042768,0.0018291,0,239948,119831,-1,0.021384,-0.000584,0.001072,0.002112,-0.000104,-0.002376,0.000528,-0.000672,0.00016,0.001936,-0.001656,0.000896,-0.000864,0.003232,0.00096,0.000224,-0.001168,0.001352,-0.000592
0.02,77,-0.0002,0.0002,4e-08,-0.036368,0.00132263,0,240034,120473,-1,0.018184,0.000752,0.00088,0.001136,-0.003928,0.000712,0.0002,0.000896,-0.000624,0.000584,0.000568,-0.000528,0.000904,-0.004568,0.00336,0.000272,-0.0004,-0.002008,0.00048
0.02,78,0.002608,0.002608,6.80166e-06,-0.03912,0.00153037,0,239936,119997,-1,0.01956,0.000832,0.00268,0.00124,-0.00088,-0.000584,-0.000296,-0.000608,8.8e-05,-0.000792,0.001768,0.000432,-0.000776,-0.002072,0.000656,0.00128,-0.0012,-0.001168,0.00088
0.02,79,0.001528,0.001528,2.33478e-06,-0.043072,0.0018552,0,239872,120069,1,0.021536,-0.000888,-0.00032,-0.001456,-0.0004,-0.000104,-0.000496,8e-05,0.000392,0.000152,0.000688,0.002352,0.002512,0.000896,-0.000208,0.001872,0.002048,-0.0004,-0.000688
0.02,80,0.002352,0.002352,5.5319e-06,-0.038912,0.00151414,0,240104,119800,1,0.019456,0.001264,-0.001472,-0.00124,0.000272,-0.00296,0.000936,-0.000888,-0.000176,-0.000232,-0.000192,0.00012,-0.002424,-0.000608,-0.001624,-0.002192,0.000408,0,-0.000896
